seqid	genome_id	gene_oid	cluster_id	definition	locus_tag	scaffold	len_aa
ecistem_637000120_637125639	637000120	637125639	65544	C-terminal processing protease CtpA/Prc, contains a PDZ domain [Posttranslational modification, protein turnover, chaperones]; Periplasmic protease [Cell envelope biogenesis, outer membrane].	GSU0969	NC_002939	451
ecistem_637000120_637125640	637000120	637125640	65544	ELWxxDGT repeat; This model describes protein repeat with a well-conserved motif ELWxxDGT, and a periodicity of about 48. A single protein may have as many as 18 repeats. It may consist nearly entirely of this repeat, or may have other repeats as well (e.g. hyalin repeat). It is most common in the Deltaproteobacteria.	GSU0970	NC_002939	984
ecistem_637000120_637125641	637000120	637125641	65544	RF-1 domain; This domain is found in peptide chain release factors such as RF-1 and RF-2, and a number of smaller proteins of unknown function. This domain contains the peptidyl-tRNA hydrolase activity. The domain contains a highly conserved motif GGQ, where the glutamine is thought to coordinate the water that mediates the hydrolysis.	GSU0971	NC_002939	108
ecistem_637000120_637125642	637000120	637125642	65544		GSU0972	NC_002939	
ecistem_637000120_637125643	637000120	637125643	65544		GSU0973	NC_002939	
ecistem_637000120_637125644	637000120	637125644	65544	Carboxypeptidase regulatory-like domain; Carboxypeptidase regulatory-like domain.	GSU0974	NC_002939	283
ecistem_637000120_637125645	637000120	637125645	65544		GSU0975	NC_002939	
ecistem_637000120_637125646	637000120	637125646	65544		GSU0976	NC_002939	
ecistem_637000120_637125647	637000120	637125647	65544		GSU0977	NC_002939	121
ecistem_637000120_637125648	637000120	637125648	65544		GSU0978	NC_002939	33
ecistem_637000120_637125649	637000120	637125649	65544		GSU0979	NC_002939	
ecistem_637000120_637125650	637000120	637125650	65544		GSU0980	NC_002939	397
ecistem_637000120_637125651	637000120	637125651	65544		GSU0981	NC_002939	
ecistem_637000120_637125652	637000120	637125652	65544		GSU0982	NC_002939	
ecistem_637000120_637125653	637000120	637125653	65544		GSU0983	NC_002939	
ecistem_637000120_637125654	637000120	637125654	65544		GSU0984	NC_002939	34
ecistem_637000120_637125655	637000120	637125655	65544		GSU0985	NC_002939	
ecistem_637000120_637125656	637000120	637125656	65544		GSU0986	NC_002939	
ecistem_637000120_637125657	637000120	637125657	65544		GSU0987	NC_002939	
ecistem_637000120_637125658	637000120	637125658	65544		GSU0988	NC_002939	
ecistem_637000120_637125659	637000120	637125659	65544	NHL repeat unit of beta-propeller proteins; The NHL(NCL-1, HT2A and LIN-41)-repeat is found in multiple tandem copies, typically as 6 instances. It is about 40 residues long and resembles the WD repeat and other beta-propeller structures. The repeats have a catalytic activity in Peptidyl-glycine alpha-amidating monooxygenase; proteolysis has shown that the Peptidyl-alpha-hydroxyglycine alpha-amidating lyase (PAL) activity is localized to the repeats. Tripartite motif-containing protein 32 interacts with the activation domain of Tat. This interaction is mediated by the NHL repeats.	GSU0989	NC_002939	631
ecistem_637000120_637125660	637000120	637125660	65544	Herpes virus major outer envelope glycoprotein (BLLF1); This family consists of the BLLF1 viral late glycoprotein, also termed gp350/220. It is the most abundantly expressed glycoprotein in the viral envelope of the Herpesviruses and is the major antigen responsible for stimulating the production of neutralising antibodies in vivo.	GSU0990	NC_002939	629
ecistem_637000120_637125661	637000120	637125661	65544	glycosyltransferase family 1 and related proteins with GTB topology; Glycosyltransferases catalyze the transfer of sugar moieties from activated donor molecules to specific acceptor molecules, forming glycosidic bonds. The acceptor molecule can be a lipid, a protein, a heterocyclic compound, or another carbohydrate residue. The structures of the formed glycoconjugates are extremely diverse, reflecting a wide range of biological functions. The members of this family share a common GTB topology, one of the two protein topologies observed for nucleotide-sugar-dependent glycosyltransferases. GTB proteins have distinct N- and C- terminal domains each containing a typical Rossmann fold. The two domains have high structural homology despite minimal sequence homology. The large cleft that separates the two domains includes the catalytic center and permits a high degree of flexibility.	GSU0991	NC_002939	422
ecistem_637000120_637125662	637000120	637125662	65544	MotB family protein; flagellar motor protein MotB; Validated.	GSU0992	NC_002939	981
ecistem_637000155_637820490	637000155	637820490	65556		amb1878	NC_007626	139
ecistem_637000155_637820491	637000155	637820491	65556		amb1879	NC_007626	133
ecistem_637000155_637820492	637000155	637820492	65556		amb1880	NC_007626	191
ecistem_637000155_637820493	637000155	637820493	65556		amb1881	NC_007626	266
ecistem_637000155_637820494	637000155	637820494	65556		amb1882	NC_007626	
ecistem_637000155_637820495	637000155	637820495	65556		amb1883	NC_007626	201
ecistem_637000155_637820496	637000155	637820496	65556		amb1884	NC_007626	
ecistem_637000155_637820497	637000155	637820497	65556		amb1885	NC_007626	
ecistem_637000155_637820498	637000155	637820498	65556		amb1886	NC_007626	110
ecistem_637000155_637820499	637000155	637820499	65556		amb1887	NC_007626	92
ecistem_637000155_637820500	637000155	637820500	65556		amb1888	NC_007626	
ecistem_637000155_637820501	637000155	637820501	65556		amb1889	NC_007626	335
ecistem_637000155_637820502	637000155	637820502	65556		amb1890	NC_007626	
ecistem_637000155_637820503	637000155	637820503	65556		amb1891	NC_007626	
ecistem_637000155_637820504	637000155	637820504	65556	Uncharacterized conserved protein, implicated in type VI secretion and phage assembly  [Intracellular trafficking, secretion, and vesicular transport, Mobilome: prophages, transposons, General function prediction only]; Uncharacterized protein conserved in bacteria [Function unknown].	amb1892	NC_007626	209
ecistem_637000155_637820505	637000155	637820505	65556		amb1893	NC_007626	
ecistem_637000155_637820506	637000155	637820506	65556		amb1894	NC_007626	
ecistem_637000155_637820507	637000155	637820507	65556		amb1895	NC_007626	63
ecistem_637000155_637820508	637000155	637820508	65556		amb1896	NC_007626	
ecistem_637000155_637820509	637000155	637820509	65556		amb1897	NC_007626	
ecistem_637000155_637820510	637000155	637820510	65556	Phage tail protein (Tail_P2_I); These sequences represent the family of phage P2 protein I and related tail proteins from a number of temperate phage of Gram-negative bacteria.	amb1898	NC_007626	323
ecistem_637000155_637820511	637000155	637820511	65556		amb1899	NC_007626	275
ecistem_637000155_637820512	637000155	637820512	65556		amb1900	NC_007626	1137
ecistem_637000155_637820513	637000155	637820513	65556		amb1901	NC_007626	207
ecistem_637000155_637820514	637000155	637820514	65556	Aspartyl/Asparaginyl beta-hydroxylase; Iron (II)/2-oxoglutarate (2-OG)-dependent oxygenases catalyze oxidative reactions in a range of metabolic processes. Proline 3-hydroxylase hydroxylates proline at position 3, the first of a 2-OG oxygenase catalyzing oxidation of a free alpha-amino acid. The structure of proline 3-hydroxylase contains the conserved motifs present in other 2-OG oxygenases including a jelly roll strand core and residues binding iron and 2-oxoglutarate, consistent with divergent evolution within the extended family. This family represent the arginine, asparagine and proline hydroxylases. The aspartyl/asparaginyl beta-hydroxylase (EC:1.14.11.16) specifically hydroxylates one aspartic or asparagine residue in certain epidermal growth factor-like domains of a number of proteins.	amb1902	NC_007626	176
ecistem_637000155_637820515	637000155	637820515	65556		amb1903	NC_007626	
ecistem_637000155_637820516	637000155	637820516	65556		amb1904	NC_007626	286
ecistem_637000155_637820517	637000155	637820517	65556		amb1905	NC_007626	309
ecistem_637000155_637820518	637000155	637820518	65556		amb1906	NC_007626	364
ecistem_637000155_637820519	637000155	637820519	65556		amb1907	NC_007626	159
ecistem_637000199_637233697	637000199	637233697	65581		asr3309	NC_003272	62
ecistem_637000199_637233698	637000199	637233698	65581	TonB dependent/Ligand-Gated channels are created by a monomeric 22 strand (22,24) anti-parallel beta-barrel. Ligands apparently bind to the large extracellular loops. The N-terminal 150-200 residues form a plug from the periplasmic end of barrel.   Energy (proton-motive force) and TonB-dependent conformational alteration of channel (parts of plug, and loops 7 and 8) allow passage of ligand. FepA residues 12-18 form the TonB box, which mediates the interaction with the TonB-containing  inner membrane complex. TonB preferentially interacts with ligand-bound receptors. Transport thru the channel may resemble passage thru an air lock.  In this model, ligand binding leads to closure of the extracellular end of pore, then a TonB-mediated  signal facillitates opening of the interior side of pore, deforming the N-terminal plug and allowing passage of the ligand to the periplasm. Such a mechanism would prevent the free diffusion of small molecules thru the pore.	all3310	NC_003272	699
ecistem_637000199_637233699	637000199	637233699	65581	APOBEC3; APOBEC3 deaminases act as restriction factors in the innate response to retroviruses and various retroelements.	alr3311	NC_003272	1341
ecistem_637000199_637233700	637000199	637233700	65581		alr3312	NC_003272	107
ecistem_637000199_637233701	637000199	637233701	65581		all3313	NC_003272	
ecistem_637000199_637233702	637000199	637233702	65581		all3314	NC_003272	1477
ecistem_637000199_637233703	637000199	637233703	65581		all3315	NC_003272	
ecistem_637000199_637233704	637000199	637233704	65581	Synaptonemal complex protein 1 (SCP-1); Synaptonemal complex protein 1 (SCP-1) is the major component of the transverse filaments of the synaptonemal complex. Synaptonemal complexes are structures that are formed between homologous chromosomes during meiotic prophase.	all3316	NC_003272	155
ecistem_637000199_637233705	637000199	637233705	65581		all3317	NC_003272	
ecistem_637000199_637233706	637000199	637233706	65581		all3318	NC_003272	
ecistem_637000199_637233707	637000199	637233707	65581		all3319	NC_003272	
ecistem_637000199_637233708	637000199	637233708	65581		all3320	NC_003272	
ecistem_637000199_637233709	637000199	637233709	65581		all3321	NC_003272	
ecistem_637000199_637233710	637000199	637233710	65581		asl3322	NC_003272	
ecistem_637000199_637233711	637000199	637233711	65581		all3323	NC_003272	
ecistem_637000199_637233712	637000199	637233712	65581		all3324	NC_003272	
ecistem_637000199_637233713	637000199	637233713	65581		all3325	NC_003272	
ecistem_637000199_637233714	637000199	637233714	65581		all3326	NC_003272	400
ecistem_637000199_637233715	637000199	637233715	65581		all3327	NC_003272	
ecistem_637000199_637233716	637000199	637233716	65581	KaiB-like family; composed of the circadian clock proteins, KaiB and the N-terminal KaiB-like sensory domain of SasA. KaiB is an essential protein in maintaining circadian rhythm. It was originally discovered from the cyanobacterium Synechococcus as part of the circadian clock gene cluster, kaiABC. KaiB attenuates KaiA-enhanced KaiC autokinase activity by interacting with KaiA-KaiC complexes in a circadian fashion. KaiB is membrane-associated as well as cytosolic. The amount of membrane-associated protein peaks in the evening (at circadian time (CT) 12-16) while the cytosolic form peaks later (at CT 20). The rhythmic localization of KaiB may function in regulating the formation of Kai complexes. SasA is a sensory histidine kinase which associates with KaiC. Although it is not an essential oscillator component, it is important in enhancing kaiABC expression and is important in metabolic growth control under day/night cycle conditions. SasA contains an N-terminal sensory domain with a TRX fold which  is involved in the SasA-KaiC interaction. This domain shows high sequence similarity with KaiB. However, the KaiB structure does not show a classical TRX fold. The N-terminal half of KaiB shares the same beta-alpha-beta topology as TRX, but the topology of its C-terminal half diverges.	all3328	NC_003272	255
ecistem_637000199_637233717	637000199	637233717	65581	Tfp pilus assembly protein PilT, pilus retraction ATPase [Cell motility, Extracellular structures]; Tfp pilus assembly protein, pilus retraction ATPase PilT [Cell motility and secretion / Intracellular trafficking and secretion].	all3329	NC_003272	433
ecistem_637000199_637233718	637000199	637233718	65581		alr3330	NC_003272	125
ecistem_637000199_637233719	637000199	637233719	65581	Lhr-like helicase [Replication, recombination and repair]; Lhr-like helicases [General function prediction only].	alr3331	NC_003272	723
ecistem_637000249_637920099	637000249	637920099	65661	Major Facilitator Superfamily; The Major Facilitator Superfamily (MFS) is a large and diverse group of secondary transporters that includes uniporters, symporters, and antiporters. MFS proteins facilitate the transport across cytoplasmic or internal membranes of a variety of substrates including ions, sugar phosphates, drugs, neurotransmitters, nucleosides, amino acids, and peptides. They do so using the electrochemical potential of the transported substrates. Uniporters transport a single substrate, while symporters and antiporters transport two substrates in the same or in opposite directions, respectively, across membranes. MFS proteins are typically 400 to 600 amino acids in length, and the majority contain 12 transmembrane alpha helices (TMs) connected by hydrophilic loops. The N- and C-terminal halves of these proteins display weak similarity and may be the result of a gene duplication/fusion event. Based on kinetic studies and the structures of a few bacterial superfamily members, GlpT (glycerol-3-phosphate transporter), LacY (lactose permease), and EmrD (multidrug transporter), MFS proteins are thought to function through a single substrate binding site, alternating-access mechanism involving a rocker-switch type of movement. Bacterial members function primarily for nutrient uptake, and as drug-efflux pumps to confer antibiotic resistance. Some MFS proteins have medical significance in humans such as the glucose transporter Glut4, which is impaired in type II diabetes, and glucose-6-phosphate transporter (G6PT), which causes glycogen storage disease when mutated.	Sde_1032	NC_007912	226
ecistem_637000249_637920100	637000249	637920100	65661	Choline dehydrogenase or related flavoprotein [Lipid transport and metabolism, General function prediction only]; Choline dehydrogenase and related flavoproteins [Amino acid transport and metabolism].	Sde_1033	NC_007912	575
ecistem_637000249_637920101	637000249	637920101	65661	Gluconate 2-dehydrogenase subunit 3; This family corresponds to subunit 3 of the Gluconate 2-dehydrogenase enzyme that catalyzes the conversion of gluconate to 2-dehydro-D-gluconate EC:1.1.99.3.	Sde_1034	NC_007912	213
ecistem_637000249_637920102	637000249	637920102	65661	Porin superfamily.  These outer membrane channels share a beta-barrel structure that differ in strand and shear number.  Classical (gram-negative ) porins are non-specific channels for small hydrophillic molecules and form 16 beta-stranded barrels (16,20), which associate as trimers. Maltoporin-like channels have specificities for various sugars and form 18 beta-stranded barrels (18,22), which associate as trimers. Ligand-gated protein channels cooperate with a TonB associated inner membrane complex to actively transport ligands via the proton motive force and they form monomeric, (22,24) barrels. The 150-200 N-terminal residues form a plug that blocks the channel from the periplasmic end.	Sde_1035	NC_007912	199
ecistem_637000249_637920103	637000249	637920103	65661		Sde_1036	NC_007912	
ecistem_637000249_637920104	637000249	637920104	65661		Sde_1037	NC_007912	337
ecistem_637000249_637920105	637000249	637920105	65661		Sde_1038	NC_007912	
ecistem_637000249_637920106	637000249	637920106	65661		Sde_1039	NC_007912	
ecistem_637000249_637920107	637000249	637920107	65661		Sde_1040	NC_007912	
ecistem_637000249_637920108	637000249	637920108	65661		Sde_1041	NC_007912	
ecistem_637000249_637920109	637000249	637920109	65661		Sde_1042	NC_007912	
ecistem_637000249_637920110	637000249	637920110	65661		Sde_1043	NC_007912	
ecistem_637000249_637920111	637000249	637920111	65661		Sde_1044	NC_007912	
ecistem_637000249_637920112	637000249	637920112	65661		Sde_1045	NC_007912	
ecistem_637000249_637920113	637000249	637920113	65661		Sde_1046	NC_007912	
ecistem_637000249_637920114	637000249	637920114	65661		Sde_1047	NC_007912	926
ecistem_637000249_637920115	637000249	637920115	65661		Sde_1048	NC_007912	
ecistem_637000249_637920116	637000249	637920116	65661		Sde_1049	NC_007912	
ecistem_637000249_637920117	637000249	637920117	65661	Phage-related protein  [Mobilome: prophages, transposons]; Phage-related protein [Function unknown].	Sde_1050	NC_007912	1247
ecistem_637000249_637920118	637000249	637920118	65661	Cellulose binding domain; Two tryptophan residues are involved in cellulose binding. Cellulose binding domain found in bacteria.	Sde_1051	NC_007912	701
ecistem_637000249_637920119	637000249	637920119	65661		Sde_1052	NC_007912	334
ecistem_637000249_637920120	637000249	637920120	65661		Sde_1053	NC_007912	138
ecistem_638341115_638937150	638341115	638937150	65900	Putative peptidoglycan binding domain; This domain is composed of three alpha helices. This domain is found at the N or C-terminus of a variety of enzymes involved in bacterial cell wall degradation. This domain may have a general peptidoglycan binding function. This family is found N-terminal to the catalytic domain of matrixins. The domain is found to bind peptidoglycan experimentally.	MED217_08565	NZ_AANC01000007	274
ecistem_638341115_638937151	638341115	638937151	65900	DNA/RNA non-specific endonuclease; prokaryotic and eukaryotic double- and single-stranded DNA and RNA endonucleases also present in phosphodiesterases.  They exists as monomers and homodimers.	MED217_08570	NZ_AANC01000007	1518
ecistem_638341115_638937152	638341115	638937152	65900		MED217_08575	NZ_AANC01000007	108
ecistem_638341115_638937153	638341115	638937153	65900		MED217_08580	NZ_AANC01000007	149
ecistem_638341115_638937154	638341115	638937154	65900		MED217_08585	NZ_AANC01000007	
ecistem_638341115_638937155	638341115	638937155	65900		MED217_08590	NZ_AANC01000007	1733
ecistem_638341115_638937156	638341115	638937156	65900		MED217_08595	NZ_AANC01000007	
ecistem_638341115_638937157	638341115	638937157	65900		MED217_08600	NZ_AANC01000007	
ecistem_638341115_638937158	638341115	638937158	65900		MED217_08605	NZ_AANC01000007	
ecistem_638341115_638937159	638341115	638937159	65900		MED217_08610	NZ_AANC01000007	
ecistem_638341115_638937160	638341115	638937160	65900		MED217_08615	NZ_AANC01000007	
ecistem_638341115_638937161	638341115	638937161	65900		MED217_08620	NZ_AANC01000007	
ecistem_638341115_638937162	638341115	638937162	65900		MED217_08625	NZ_AANC01000007	
ecistem_638341115_638937163	638341115	638937163	65900		MED217_08630	NZ_AANC01000007	
ecistem_638341115_638937164	638341115	638937164	65900		MED217_08635	NZ_AANC01000007	
ecistem_638341115_638937165	638341115	638937165	65900		MED217_08640	NZ_AANC01000007	
ecistem_638341115_638937166	638341115	638937166	65900		MED217_08645	NZ_AANC01000007	284
ecistem_638341115_638937167	638341115	638937167	65900		MED217_08650	NZ_AANC01000007	
ecistem_638341115_638937168	638341115	638937168	65900		MED217_08655	NZ_AANC01000007	166
ecistem_638341115_638937169	638341115	638937169	65900	XrtN system VIT domain protein; Members of this subfamily average about 850 amino acids in length, ending with a variant form of PEP-CTERM sorting signal. Members have a VIT (vault protein inter-alpha-trypsin inhibitor heavy chain) domain (pfam08487). Other bacterial subfamilies of VIT domain proteins have members with either GlyGly-CTERM or LPXTG C-terminal sorting signals. Members of this subfamily occur only in context next to a protein sorting/processing enzyme, exosortase N (XrtN). These subsystems occur both among the Bacteriodetes and in the spirochete genus Leptospira.	MED217_08660	NZ_AANC01000007	220
ecistem_638341115_638937170	638341115	638937170	65900	Signal transduction histidine kinase  [Signal transduction mechanisms]; Signal transduction histidine kinase [Signal transduction mechanisms].	MED217_08665	NZ_AANC01000007	271
ecistem_638341115_638937171	638341115	638937171	65900	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains [Signal transduction mechanisms, Transcription]; Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain [Signal transduction mechanisms / Transcription].	MED217_08670	NZ_AANC01000007	232
ecistem_638341135_639002322	638341135	639002322	65905	spore cortex-lytic enzyme; Members of this protein family are the spore cortex-lytic enzyme SleB from Bacillus subtilis and other Gram-positive, endospore-forming bacterial species. This protein is stored in an inactive form in the spore and activated during germination. [Cellular processes, Sporulation and germination]	NB231_06411	NZ_AAOF01000005	1064
ecistem_638341135_639002323	638341135	639002323	65905		NB231_06416	NZ_AAOF01000005	1239
ecistem_638341135_639002324	638341135	639002324	65905		NB231_06421	NZ_AAOF01000005	406
ecistem_638341135_639002325	638341135	639002325	65905	Chromosome segregation ATPase [Cell cycle control, cell division, chromosome partitioning]; Chromosome segregation ATPases [Cell division and chromosome partitioning].	NB231_06426	NZ_AAOF01000005	506
ecistem_638341135_639002326	638341135	639002326	65905		NB231_06431	NZ_AAOF01000005	
ecistem_638341135_639002327	638341135	639002327	65905		NB231_06436	NZ_AAOF01000005	481
ecistem_638341135_639002328	638341135	639002328	65905	Cytochrome D1 heme domain; Cytochrome cd1 (nitrite reductase) catalyzes the conversion of nitrite to nitric oxide in the nitrogen cycle. This family represents the d1 heme binding domain of cytochrome cd1, in which His/Tyr side chains ligate the d1 heme iron of the active site in the oxidized state.	NB231_06441	NZ_AAOF01000005	731
ecistem_638341135_639002329	638341135	639002329	65905		NB231_06446	NZ_AAOF01000005	
ecistem_638341135_639002330	638341135	639002330	65905		NB231_06451	NZ_AAOF01000005	
ecistem_638341135_639002331	638341135	639002331	65905		NB231_06456	NZ_AAOF01000005	565
ecistem_638341135_639002332	638341135	639002332	65905		NB231_06461	NZ_AAOF01000005	
ecistem_638341135_639002333	638341135	639002333	65905		NB231_06466	NZ_AAOF01000005	
ecistem_638341135_639002334	638341135	639002334	65905		NB231_06471	NZ_AAOF01000005	58
ecistem_638341135_639002335	638341135	639002335	65905		NB231_06476	NZ_AAOF01000005	
ecistem_638341135_639002336	638341135	639002336	65905		NB231_06481	NZ_AAOF01000005	
ecistem_638341135_639002337	638341135	639002337	65905		NB231_06486	NZ_AAOF01000005	
ecistem_638341135_639002338	638341135	639002338	65905		NB231_06491	NZ_AAOF01000005	
ecistem_638341135_639002339	638341135	639002339	65905		NB231_06496	NZ_AAOF01000005	
ecistem_638341135_639002340	638341135	639002340	65905		NB231_06501	NZ_AAOF01000005	284
ecistem_638341135_639002341	638341135	639002341	65905		NB231_06506	NZ_AAOF01000005	
ecistem_638341135_639002342	638341135	639002342	65905	class III alcohol dehydrogenases; Members identified as glutathione-dependent formaldehyde dehydrogenase(FDH), a member of the zinc dependent/medium chain alcohol dehydrogenase family.  FDH converts formaldehyde and NAD(P) to formate and NAD(P)H. The initial step in this process the spontaneous formation of a S-(hydroxymethyl)glutathione adduct from formaldehyde and glutathione, followed by FDH-mediated oxidation (and detoxification) of the adduct to S-formylglutathione.  MDH family uses NAD(H) as a cofactor in the interconversion of alcohols and aldehydes or ketones. Like many zinc-dependent alcohol dehydrogenases (ADH) of the medium chain alcohol dehydrogenase/reductase family (MDR), these FDHs form dimers, with 4 zinc ions per dimer. The medium chain alcohol dehydrogenase family (MDR) have a NAD(P)(H)-binding domain in a Rossmann fold of a beta-alpha form. The N-terminal region typically has an all-beta catalytic domain. These proteins typically form dimers (typically higher plants, mammals) or tetramers (yeast, bacteria), and have 2 tightly bound zinc atoms per subunit.  Alcohol dehydrogenase in the liver converts ethanol and NAD+ to acetaldehyde and NADH, while in yeast and some other microorganisms ADH catalyzes the conversion acetaldehyde to ethanol in alcoholic fermentation.   ADH is a member of the medium chain alcohol dehydrogenase family (MDR), which have a NAD(P)(H)-binding domain in a Rossmann fold of a beta-alpha form. The NAD(H)-binding region is comprised of 2 structurally similar halves, each of which contacts a mononucleotide.  A GxGxxG motif after the first mononucleotide contact half allows the close contact of the coenzyme with the ADH backbone.  The N-terminal catalytic domain has a distant homology  to GroES.  These proteins typically form dimers (typically higher plants, mammals) or tetramers (yeast, bacteria),  and have 2 tightly bound zinc atoms per subunit, a catalytic zinc at the active site and a structural zinc in a lobe of the catalytic domain.  NAD(H)  binding occurs in the cleft between the catalytic  and coenzyme-binding domains at the active site, and coenzyme binding induces a conformational closing of this cleft. Coenzyme binding typically precedes and contributes to substrate binding.	NB231_06511	NZ_AAOF01000005	370
ecistem_638341135_639002343	638341135	639002343	65905	alpha/beta hydrolases; A functionally diverse superfamily containing proteases, lipases, peroxidases, esterases, epoxide hydrolases and dehalogenases. The catalytic apparatus typically involves three residues (catalytic triad): a serine, a glutamate or aspartate and a histidine, and often the mechanism involves a nucleophilic attack on a carbonyl carbon atom.	NB231_06516	NZ_AAOF01000005	293
ecistem_638341135_639002344	638341135	639002344	65905	Predicted nuclease of the RNAse H fold, HicB family [Defense mechanisms]; Predicted nuclease of the RNAse H fold, HicB family [General    function prediction only].	NB231_06521	NZ_AAOF01000005	72
ecistem_638341135_639002345	638341135	639002345	65905	HicA toxin of bacterial toxin-antitoxin,; HicA_toxin is a bacterial family of toxins that act as mRNA interferases. The antitoxin that neutralizes this is family HicB, pfam15919.	NB231_06526	NZ_AAOF01000005	74
ecistem_639633050_639754398	639633050	639754398	65989		Ppro_0359	NC_008609	405
ecistem_639633050_639754399	639633050	639754399	65989	Methyltransferase domain; This family appears to be a methyltransferase domain.	Ppro_0360	NC_008609	202
ecistem_639633050_639754400	639633050	639754400	65989		Ppro_0361	NC_008609	753
ecistem_639633050_639754401	639633050	639754401	65989	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family [Cell wall/membrane/envelope biogenesis, Cell cycle control, cell division, chromosome partitioning, Signal transduction mechanisms]; ATPases of the AAA+ class [Posttranslational modification, protein turnover, chaperones].	Ppro_0362	NC_008609	449
ecistem_639633050_639754402	639633050	639754402	65989		Ppro_0363	NC_008609	
ecistem_639633050_639754403	639633050	639754403	65989		Ppro_0364	NC_008609	
ecistem_639633050_639754404	639633050	639754404	65989		Ppro_0365	NC_008609	
ecistem_639633050_639754405	639633050	639754405	65989		Ppro_0366	NC_008609	
ecistem_639633050_639754406	639633050	639754406	65989		Ppro_0367	NC_008609	
ecistem_639633050_639754407	639633050	639754407	65989		Ppro_0368	NC_008609	
ecistem_639633050_639754408	639633050	639754408	65989		Ppro_0369	NC_008609	
ecistem_639633050_639754409	639633050	639754409	65989		Ppro_0370	NC_008609	
ecistem_639633050_639754410	639633050	639754410	65989		Ppro_0371	NC_008609	
ecistem_639633050_639754411	639633050	639754411	65989		Ppro_0372	NC_008609	
ecistem_639633050_639754412	639633050	639754412	65989		Ppro_0373	NC_008609	
ecistem_639633050_639754413	639633050	639754413	65989		Ppro_0374	NC_008609	280
ecistem_639633050_639754414	639633050	639754414	65989		Ppro_0375	NC_008609	
ecistem_639633050_639754415	639633050	639754415	65989	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains [Signal transduction mechanisms, Transcription]; Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain [Signal transduction mechanisms / Transcription].	Ppro_0376	NC_008609	241
ecistem_639633050_639754416	639633050	639754416	65989	hypothetical protein; Provisional	Ppro_0377	NC_008609	772
ecistem_639633050_639754417	639633050	639754417	65989	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains [Signal transduction mechanisms]; Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains [Signal transduction mechanisms].	Ppro_0378	NC_008609	473
ecistem_639633050_639754418	639633050	639754418	65989		Ppro_0379	NC_008609	75
ecistem_640069320_640138231	640069320	640138231	66056	Metal dependent phosphohydrolases with conserved 'HD' motif	Mjls_0919	NC_009077	217
