protein_id	t6ss_system	source_acc	start	end	organism	component
T6CP000111	T6SS00015	NC_002947	4607328	4608125	Pseudomonas putida KT2440	TssJ
T6CP000112	T6SS00015	NC_002947	4608175	4609512	Pseudomonas putida KT2440	TssK
T6CP000113	T6SS00015	NC_002947	4609514	4610389	Pseudomonas putida KT2440	TssL
T6CP009582	T6SS00015	NC_002947	4604171	4604581	Pseudomonas putida KT2440	TssE
T6CP009583	T6SS00015	NC_002947	4610523	4611038	Pseudomonas putida KT2440	TssD
T6CP011403	T6SS00015	NC_002947	4613630	4618222	Pseudomonas putida KT2440	PAAR
T6CP000114	T6SS00016	NC_003063	1460756	1464235	Agrobacterium fabrum str. C58	TssM
T6CP000115	T6SS00016	NC_003063	1464232	1465737	Agrobacterium fabrum str. C58	TssL
T6CP000116	T6SS00016	NC_003063	1465734	1467074	Agrobacterium fabrum str. C58	TssK
T6CP000117	T6SS00016	NC_003063	1468274	1469278	Agrobacterium fabrum str. C58	TssG
T6CP000118	T6SS00016	NC_003063	1469288	1471069	Agrobacterium fabrum str. C58	TssF
T6CP000119	T6SS00016	NC_003063	1472385	1473779	Agrobacterium fabrum str. C58	TssC
T6CP000120	T6SS00016	NC_003063	1473834	1475315	Agrobacterium fabrum str. C58	TssC
T6CP000121	T6SS00016	NC_003063	1475409	1475918	Agrobacterium fabrum str. C58	TssB
T6CP000122	T6SS00016	NC_003063	1477260	1479938	Agrobacterium fabrum str. C58	TssH
T6CP000123	T6SS00016	NC_003063	1479996	1480472	Agrobacterium fabrum str. C58	TssD
T6CP000124	T6SS00016	NC_003063	1481495	1483945	Agrobacterium fabrum str. C58	TssI
T6CP008386	T6SS00016	NC_003063	1471062	1471571	Agrobacterium fabrum str. C58	TssE
T6CP009351	T6SS00016	NC_003063	1475984	1477039	Agrobacterium fabrum str. C58	TssA
T6CP011354	T6SS00016	NC_003063	1486452	1486757	Agrobacterium fabrum str. C58	PAAR
T6CP011404	T6SS00016	NC_003063	1467064	1468263	Agrobacterium fabrum str. C58	FHA
T6CP012426	T6SS00016	NC_003063	1458366	1459271	Agrobacterium fabrum str. C58	PpkA
T6CP012427	T6SS00016	NC_003063	1459258	1460673	Agrobacterium fabrum str. C58	TagF-PppA
T6CP012697	T6SS00016	NC_003063	1471564	1472388	Agrobacterium fabrum str. C58	TagJ
T6CP259498	T6SS00016	NC_003063	694941	697205	Agrobacterium fabrum str. C58	TssI
T6CP000125	T6SS00017	NC_003143	532701	533714	Yersinia pestis CO92	TssA
T6CP000126	T6SS00017	NC_003143	533725	534285	Yersinia pestis CO92	TssB
T6CP000127	T6SS00017	NC_003143	534294	535796	Yersinia pestis CO92	TssC
T6CP000128	T6SS00017	NC_003143	535959	536477	Yersinia pestis CO92	TssD
T6CP000129	T6SS00017	NC_003143	536551	536994	Yersinia pestis CO92	TssE
T6CP000130	T6SS00017	NC_003143	537027	538871	Yersinia pestis CO92	TssF
T6CP000131	T6SS00017	NC_003143	538864	539847	Yersinia pestis CO92	TssG
T6CP000132	T6SS00017	NC_003143	539865	542453	Yersinia pestis CO92	TssH
T6CP000133	T6SS00017	NC_003143	542557	544905	Yersinia pestis CO92	TssI
T6CP000134	T6SS00017	NC_003143	549240	549731	Yersinia pestis CO92	TssJ
T6CP000135	T6SS00017	NC_003143	549851	551206	Yersinia pestis CO92	TssK
T6CP000136	T6SS00017	NC_003143	551203	552813	Yersinia pestis CO92	TssL
T6CP008410	T6SS00017	NC_003143	552875	556315	Yersinia pestis CO92	TssM
T6CP011405	T6SS00017	NC_003143	548882	549247	Yersinia pestis CO92	PAAR
T6CP000173	T6SS00023	NC_003197	304666	305721	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssA
T6CP000174	T6SS00023	NC_003197	305732	306727	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssG
T6CP000175	T6SS00023	NC_003197	306724	308607	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssF
T6CP000176	T6SS00023	NC_003197	308623	309117	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssE
T6CP000177	T6SS00023	NC_003197	311195	313834	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssH
T6CP000178	T6SS00023	NC_003197	313934	314476	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssB
T6CP000179	T6SS00023	NC_003197	314500	316008	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssC
T6CP000180	T6SS00023	NC_003197	316894	317379	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssD
T6CP000181	T6SS00023	NC_003197	318680	319165	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssD
T6CP000182	T6SS00023	NC_003197	319232	319768	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssJ
T6CP000183	T6SS00023	NC_003197	319772	321115	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssK
T6CP000184	T6SS00023	NC_003197	321112	322416	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssL
T6CP000185	T6SS00023	NC_003197	323862	327731	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssM
T6CP000186	T6SS00023	NC_003197	329874	332063	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TssI
T6CP011413	T6SS00023	NC_003197	332552	336646	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	PAAR
T6CP012699	T6SS00023	NC_003197	309114	309938	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	TagJ
T6CP000200	T6SS00026	NC_003296	929249	930040	Ralstonia solanacearum GMI1000	TssL
T6CP000201	T6SS00026	NC_003296	930037	931383	Ralstonia solanacearum GMI1000	TssK
T6CP000202	T6SS00026	NC_003296	931427	932101	Ralstonia solanacearum GMI1000	TssJ
T6CP000203	T6SS00026	NC_003296	933060	933572	Ralstonia solanacearum GMI1000	TssB
T6CP000204	T6SS00026	NC_003296	933565	935055	Ralstonia solanacearum GMI1000	TssC
T6CP000205	T6SS00026	NC_003296	935144	935647	Ralstonia solanacearum GMI1000	TssD
T6CP000206	T6SS00026	NC_003296	935708	936181	Ralstonia solanacearum GMI1000	TssE
T6CP000207	T6SS00026	NC_003296	936244	938094	Ralstonia solanacearum GMI1000	TssF
T6CP000208	T6SS00026	NC_003296	938058	939149	Ralstonia solanacearum GMI1000	TssG
T6CP000209	T6SS00026	NC_003296	939182	941899	Ralstonia solanacearum GMI1000	TssH
T6CP000210	T6SS00026	NC_003296	941920	944676	Ralstonia solanacearum GMI1000	TssI
T6CP000211	T6SS00026	NC_003296	957087	958166	Ralstonia solanacearum GMI1000	TssA
T6CP000212	T6SS00026	NC_003296	961125	965066	Ralstonia solanacearum GMI1000	TssM
T6CP000213	T6SS00026	NC_003296	968930	971950	Ralstonia solanacearum GMI1000	TssI
T6CP011415	T6SS00026	NC_003296	966602	966871	Ralstonia solanacearum GMI1000	PAAR
T6CP011416	T6SS00026	NC_003296	959306	960139	Ralstonia solanacearum GMI1000	TagL
T6CP000275	T6SS00035	NC_004129	6904309	6907815	Pseudomonas protegens Pf-5	TssM
T6CP000276	T6SS00035	NC_004129	6907812	6909137	Pseudomonas protegens Pf-5	TssL
T6CP000277	T6SS00035	NC_004129	6909144	6910478	Pseudomonas protegens Pf-5	TssK
T6CP000278	T6SS00035	NC_004129	6910494	6911000	Pseudomonas protegens Pf-5	TssJ
T6CP000279	T6SS00035	NC_004129	6912942	6913961	Pseudomonas protegens Pf-5	TssA
T6CP000280	T6SS00035	NC_004129	6914043	6914558	Pseudomonas protegens Pf-5	TssB
T6CP000281	T6SS00035	NC_004129	6914575	6916068	Pseudomonas protegens Pf-5	TssC
T6CP000282	T6SS00035	NC_004129	6916187	6916675	Pseudomonas protegens Pf-5	TssD
T6CP000283	T6SS00035	NC_004129	6916836	6917351	Pseudomonas protegens Pf-5	TssE
T6CP000284	T6SS00035	NC_004129	6917348	6919207	Pseudomonas protegens Pf-5	TssF
T6CP000285	T6SS00035	NC_004129	6919171	6920223	Pseudomonas protegens Pf-5	TssG
T6CP000286	T6SS00035	NC_004129	6920216	6922891	Pseudomonas protegens Pf-5	TssH
T6CP000287	T6SS00035	NC_004129	6923022	6924959	Pseudomonas protegens Pf-5	TssI
T6CP011355	T6SS00035	NC_004129	6925413	6929873	Pseudomonas protegens Pf-5	PAAR
T6CP011428	T6SS00035	NC_004129	6911065	6912549	Pseudomonas protegens Pf-5	FHA
T6CP012428	T6SS00035	NC_004129	6895202	6896131	Pseudomonas protegens Pf-5	TagQ
T6CP012429	T6SS00035	NC_004129	6899838	6902921	Pseudomonas protegens Pf-5	PpkA
T6CP012430	T6SS00035	NC_004129	6896215	6897927	Pseudomonas protegens Pf-5	TagR
T6CP012431	T6SS00035	NC_004129	6897920	6899122	Pseudomonas protegens Pf-5	TagS
T6CP012432	T6SS00035	NC_004129	6899122	6899838	Pseudomonas protegens Pf-5	TagT
T6CP012433	T6SS00035	NC_004129	6902924	6903658	Pseudomonas protegens Pf-5	PppA
T6CP012434	T6SS00035	NC_004129	6903659	6904312	Pseudomonas protegens Pf-5	TagF
T6CP000292	T6SS00037	NC_004431	3223023	3223523	Escherichia coli CFT073	TssB
T6CP000293	T6SS00037	NC_004431	3223582	3225120	Escherichia coli CFT073	TssC
T6CP000294	T6SS00037	NC_004431	3225140	3226477	Escherichia coli CFT073	TssK
T6CP000295	T6SS00037	NC_004431	3226474	3227139	Escherichia coli CFT073	TssL
T6CP000296	T6SS00037	NC_004431	3229545	3232181	Escherichia coli CFT073	TssH
T6CP000297	T6SS00037	NC_004431	3232193	3234655	Escherichia coli CFT073	TssI
T6CP000298	T6SS00037	NC_004431	3239189	3242527	Escherichia coli CFT073	TssM
T6CP000300	T6SS00037	NC_004431	3247486	3247914	Escherichia coli CFT073	TssE
T6CP008393	T6SS00037	NC_004431	3228862	3229353	Escherichia coli CFT073	TssD
T6CP008394	T6SS00037	NC_004431	3246946	3247482	Escherichia coli CFT073	TssJ
T6CP008395	T6SS00037	NC_004431	3247914	3249290	Escherichia coli CFT073	TssA
T6CP009482	T6SS00037	NC_004431	3242520	3244130	Escherichia coli CFT073	TssA
T6CP011356	T6SS00037	NC_004431	3227152	3228804	Escherichia coli CFT073	TagL
T6CP011357	T6SS00037	NC_004431	3237489	3237749	Escherichia coli CFT073	PAAR
T6CP000327	T6SS00040	NC_004547	3854912	3855688	Pectobacterium atrosepticum SCRI1043	TssL
T6CP000328	T6SS00040	NC_004547	3855704	3857041	Pectobacterium atrosepticum SCRI1043	TssK
T6CP000329	T6SS00040	NC_004547	3857044	3857565	Pectobacterium atrosepticum SCRI1043	TssJ
T6CP000330	T6SS00040	NC_004547	3858788	3859786	Pectobacterium atrosepticum SCRI1043	TssG
T6CP000331	T6SS00040	NC_004547	3859750	3861516	Pectobacterium atrosepticum SCRI1043	TssF
T6CP000332	T6SS00040	NC_004547	3861956	3863434	Pectobacterium atrosepticum SCRI1043	TssC
T6CP000333	T6SS00040	NC_004547	3863466	3863969	Pectobacterium atrosepticum SCRI1043	TssB
T6CP008452	T6SS00040	NC_004547	3839060	3841096	Pectobacterium atrosepticum SCRI1043	TssI
T6CP008453	T6SS00040	NC_004547	3841279	3841797	Pectobacterium atrosepticum SCRI1043	TssD
T6CP008454	T6SS00040	NC_004547	3843747	3845183	Pectobacterium atrosepticum SCRI1043	TssA
T6CP008455	T6SS00040	NC_004547	3845233	3848730	Pectobacterium atrosepticum SCRI1043	TssM
T6CP008456	T6SS00040	NC_004547	3848755	3850173	Pectobacterium atrosepticum SCRI1043	TssA
T6CP008457	T6SS00040	NC_004547	3852301	3854898	Pectobacterium atrosepticum SCRI1043	TssH
T6CP008458	T6SS00040	NC_004547	3861519	3861950	Pectobacterium atrosepticum SCRI1043	TssE
T6CP011432	T6SS00040	NC_004547	3857565	3858785	Pectobacterium atrosepticum SCRI1043	FHA
T6CP011433	T6SS00040	NC_004547	3837677	3839050	Pectobacterium atrosepticum SCRI1043	PAAR
T6CP000344	T6SS00042	NC_004578	6153553	6155589	Pseudomonas syringae pv. tomato str. DC3000	TssI
T6CP000345	T6SS00042	NC_004578	6157343	6160870	Pseudomonas syringae pv. tomato str. DC3000	TssM
T6CP000346	T6SS00042	NC_004578	6160884	6161759	Pseudomonas syringae pv. tomato str. DC3000	TssL
T6CP000347	T6SS00042	NC_004578	6161765	6163096	Pseudomonas syringae pv. tomato str. DC3000	TssK
T6CP000348	T6SS00042	NC_004578	6163099	6163599	Pseudomonas syringae pv. tomato str. DC3000	TssJ
T6CP000349	T6SS00042	NC_004578	6166575	6169223	Pseudomonas syringae pv. tomato str. DC3000	TssH
T6CP000350	T6SS00042	NC_004578	6169237	6170244	Pseudomonas syringae pv. tomato str. DC3000	TssG
T6CP000351	T6SS00042	NC_004578	6170208	6171995	Pseudomonas syringae pv. tomato str. DC3000	TssF
T6CP000352	T6SS00042	NC_004578	6176297	6176704	Pseudomonas syringae pv. tomato str. DC3000	TssE
T6CP000353	T6SS00042	NC_004578	6176718	6178196	Pseudomonas syringae pv. tomato str. DC3000	TssC
T6CP000354	T6SS00042	NC_004578	6178225	6178731	Pseudomonas syringae pv. tomato str. DC3000	TssB
T6CP000355	T6SS00042	NC_004578	6181756	6183798	Pseudomonas syringae pv. tomato str. DC3000	TssI
T6CP008398	T6SS00042	NC_004578	6178764	6180320	Pseudomonas syringae pv. tomato str. DC3000	TssA
T6CP008399	T6SS00042	NC_004578	6181106	6181624	Pseudomonas syringae pv. tomato str. DC3000	TssD
T6CP011434	T6SS00042	NC_004578	6163605	6164801	Pseudomonas syringae pv. tomato str. DC3000	FHA
T6CP011435	T6SS00042	NC_004578	6175762	6176286	Pseudomonas syringae pv. tomato str. DC3000	PAAR
T6CP012436	T6SS00042	NC_004578	6155611	6156618	Pseudomonas syringae pv. tomato str. DC3000	Stk1
T6CP012437	T6SS00042	NC_004578	6156615	6157343	Pseudomonas syringae pv. tomato str. DC3000	Stp1
T6CP012438	T6SS00042	NC_004578	6165047	6166564	Pseudomonas syringae pv. tomato str. DC3000	Sfa2
T6CP000356	T6SS00043	NC_004603	1492844	1495516	Vibrio parahaemolyticus RIMD 2210633	TssH
T6CP000357	T6SS00043	NC_004603	1496562	1498640	Vibrio parahaemolyticus RIMD 2210633	TssI
T6CP000358	T6SS00043	NC_004603	1506285	1506791	Vibrio parahaemolyticus RIMD 2210633	TssB
T6CP000359	T6SS00043	NC_004603	1506800	1508275	Vibrio parahaemolyticus RIMD 2210633	TssC
T6CP000360	T6SS00043	NC_004603	1508758	1510506	Vibrio parahaemolyticus RIMD 2210633	TssF
T6CP000361	T6SS00043	NC_004603	1510503	1511501	Vibrio parahaemolyticus RIMD 2210633	TssG
T6CP000362	T6SS00043	NC_004603	1512050	1515439	Vibrio parahaemolyticus RIMD 2210633	TssM
T6CP000363	T6SS00043	NC_004603	1519392	1519892	Vibrio parahaemolyticus RIMD 2210633	TssJ
T6CP000364	T6SS00043	NC_004603	1519904	1521229	Vibrio parahaemolyticus RIMD 2210633	TssK
T6CP000365	T6SS00043	NC_004603	1521226	1522017	Vibrio parahaemolyticus RIMD 2210633	TssL
T6CP008427	T6SS00043	NC_004603	1495971	1496489	Vibrio parahaemolyticus RIMD 2210633	TssD
T6CP008428	T6SS00043	NC_004603	1504684	1506258	Vibrio parahaemolyticus RIMD 2210633	TssA
T6CP008429	T6SS00043	NC_004603	1508337	1508747	Vibrio parahaemolyticus RIMD 2210633	TssE
T6CP008430	T6SS00043	NC_004603	1515461	1516756	Vibrio parahaemolyticus RIMD 2210633	TssA
T6CP011350	T6SS00043	NC_004603	1486402	1491144	Vibrio parahaemolyticus RIMD 2210633	TagL
T6CP011351	T6SS00043	NC_004603	1517885	1519399	Vibrio parahaemolyticus RIMD 2210633	FHA
T6CP000366	T6SS00044	NC_004605	1079651	1081486	Vibrio parahaemolyticus RIMD 2210633	TssI
T6CP000367	T6SS00044	NC_004605	1081544	1082023	Vibrio parahaemolyticus RIMD 2210633	TssD
T6CP000368	T6SS00044	NC_004605	1082229	1084796	Vibrio parahaemolyticus RIMD 2210633	TssH
T6CP000369	T6SS00044	NC_004605	1084807	1085772	Vibrio parahaemolyticus RIMD 2210633	TssG
T6CP000370	T6SS00044	NC_004605	1085769	1087592	Vibrio parahaemolyticus RIMD 2210633	TssF
