seqid	genome_id	scaffold	start	end
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_131	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	144780	145022
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_132	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	145069	145251
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_133	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	145340	145597
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_134	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	145745	146401
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_135	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	146532	146969
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_136	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	147274	147663
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_137	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	147644	147982
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_138	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	148069	148659
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_139	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	148656	148841
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_140	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	148860	150356
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_141	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	150424	150771
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_142	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	150768	151064
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_143	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	151195	153477
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_144	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	153474	154967
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_145	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	154971	156077
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_146	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	156074	156583
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_147	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	156583	156981
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_148	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	156971	158011
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_149	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	157999	158598
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_150	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	158609	160279
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_151	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	160288	160437
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_152	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	160502	160999
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_153	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	161316	162311
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_154	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	162335	162880
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_155	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	162877	163386
tailgene_GCF_001716855.1_GCF_001716855.1_NZ_MBPF01000004.1_156	GCF_001716855.1	GCF_001716855.1_NZ_MBPF01000004.1	163782	164381
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_17	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	14565	15164
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_18	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	15560	16069
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_19	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	16066	16611
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_20	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	16635	17639
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_21	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	17764	18276
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_22	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	18290	19672
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_23	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	19683	20282
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_24	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	20270	21310
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_25	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	21300	21698
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_26	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	21698	22207
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_27	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	22204	23310
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_28	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	23314	24732
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_29	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	24729	27011
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_30	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	27142	27438
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_31	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	27435	27782
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_32	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	27850	29346
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_33	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	29365	29550
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_34	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	29547	30137
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_35	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	30224	30562
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_36	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	30543	30932
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_37	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	31237	31674
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_38	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	31772	32458
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_39	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	32607	32864
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_40	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	32953	33135
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_41	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	33182	33424
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_42	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	33539	35470
tailgene_GCF_002723575.1_GCF_002723575.1_NZ_LKCA01000034.1_43	GCF_002723575.1	GCF_002723575.1_NZ_LKCA01000034.1	35554	37035
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_598	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	629620	631101
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_599	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	631481	633412
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_600	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	633526	633768
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_601	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	633815	633997
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_602	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	634086	634343
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_603	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	634492	635103
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_604	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	635279	635716
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_605	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	636021	636410
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_606	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	636391	636729
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_607	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	636816	637406
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_608	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	637403	637588
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_609	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	637607	639103
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_610	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	639171	639518
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_611	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	639515	639811
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_612	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	639942	642224
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_613	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	642221	643714
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_614	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	643718	644824
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_615	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	644821	645330
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_616	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	645330	645728
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_617	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	645718	646758
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_618	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	646746	647345
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_619	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	647356	649158
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_620	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	649169	649681
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_621	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	649817	650821
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_622	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	650845	651390
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_623	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	651387	651896
tailgene_GCF_900184295.1_GCF_900184295.1_NZ_LT855380.1_624	GCF_900184295.1	GCF_900184295.1_NZ_LT855380.1	652292	652891
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4958	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5616708	5617307
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4959	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5617704	5618213
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4960	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5618210	5618755
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4961	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5618779	5619783
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4962	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5620099	5620596
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4963	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5620661	5620810
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4964	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5620819	5622489
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4965	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5622500	5623099
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4966	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5623087	5624127
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4967	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5624117	5624515
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4968	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5624515	5625024
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4969	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5625021	5626127
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4970	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5626131	5627597
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4971	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5627594	5629876
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4972	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5630007	5630303
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4973	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5630300	5630647
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4974	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5630715	5632211
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4975	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5632230	5632415
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4976	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5632412	5633002
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4977	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5633089	5633427
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4978	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5633408	5633797
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4979	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5634102	5634539
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4980	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5634670	5635326
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4981	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5635475	5635732
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4982	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5635821	5636003
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4983	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5636050	5636292
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4984	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5636406	5638337
tailgene_GCF_019104065.1_GCF_019104065.1_NZ_CP077720.1_4985	GCF_019104065.1	GCF_019104065.1_NZ_CP077720.1	5638487	5639968
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4861	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5502788	5503387
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4862	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5503783	5504292
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4863	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5504289	5504834
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4864	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5504858	5505862
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4865	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5506179	5506676
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4866	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5506916	5507344
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4867	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5507355	5508599
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4868	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5508610	5509209
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4869	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5509197	5510237
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4870	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5510227	5510625
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4871	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5510625	5511134
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4872	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5511131	5512237
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4873	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5512241	5513734
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4874	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5513731	5516013
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4875	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5516144	5516440
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4876	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5516437	5516784
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4877	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5516851	5518347
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4878	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5518366	5518551
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4879	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5518548	5519138
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4880	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5519225	5519563
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4881	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5519544	5519933
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4882	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5520238	5520675
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4883	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5520851	5521462
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4884	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5521611	5521868
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4885	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5521957	5522139
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4886	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5522186	5522428
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4887	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5522542	5524473
tailgene_GCF_019104025.1_GCF_019104025.1_NZ_CP077719.1_4888	GCF_019104025.1	GCF_019104025.1_NZ_CP077719.1	5524854	5526335
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_576	GCF_000007805.1	GCF_000007805.1_NC_004578.1	623639	625120
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_577	GCF_000007805.1	GCF_000007805.1_NC_004578.1	625342	627264
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_578	GCF_000007805.1	GCF_000007805.1_NC_004578.1	627371	627613
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_579	GCF_000007805.1	GCF_000007805.1_NC_004578.1	627735	627983
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_580	GCF_000007805.1	GCF_000007805.1_NC_004578.1	628136	628840
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_581	GCF_000007805.1	GCF_000007805.1_NC_004578.1	628937	629374
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_582	GCF_000007805.1	GCF_000007805.1_NC_004578.1	629847	630677
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_583	GCF_000007805.1	GCF_000007805.1_NC_004578.1	631338	631727
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_584	GCF_000007805.1	GCF_000007805.1_NC_004578.1	631705	632046
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_585	GCF_000007805.1	GCF_000007805.1_NC_004578.1	632092	632682
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_586	GCF_000007805.1	GCF_000007805.1_NC_004578.1	632679	632867
tailgene_GCF_000007805.1_GCF_000007805.1_NC_004578.1_587	GCF_000007805.1	GCF_000007805.1_NC_004578.1	632886	634382
